index,year,month,day,rain,tmax,tmin,srad,Tmean,district
0,2017,1,1,0.0,24.5,5.8,27.1,15.15,Debre markos
1,2017,1,2,0.0,25.6,9.1,26.1,17.35,Debre markos
2,2017,1,3,0.0,25.4,9.7,25.5,17.549999999999997,Debre markos
3,2017,1,4,0.0,25.6,8.4,26.5,17.0,Debre markos
4,2017,1,5,0.0,24.7,7.3,26.7,16.0,Debre markos
5,2017,1,6,0.0,25.1,6.4,27.2,15.75,Debre markos
6,2017,1,7,0.0,25.6,7.3,27.1,16.45,Debre markos
7,2017,1,8,0.0,24.8,8.2,26.3,16.5,Debre markos
8,2017,1,9,0.0,25.0,7.5,26.7,16.25,Debre markos
9,2017,1,10,0.0,25.6,6.0,27.6,15.8,Debre markos
10,2017,1,11,0.0,26.0,10.8,25.3,18.4,Debre markos
11,2017,1,12,0.0,24.7,11.3,23.3,18.0,Debre markos
12,2017,1,13,0.1,23.5,10.3,23.1,16.9,Debre markos
13,2017,1,14,1.2,23.1,9.8,23.1,16.450000000000003,Debre markos
14,2017,1,15,3.6,21.1,9.7,20.3,15.4,Debre markos
15,2017,1,16,0.0,20.3,10.0,18.2,15.15,Debre markos
16,2017,1,17,0.0,17.7,7.3,18.4,12.5,Debre markos
17,2017,1,18,0.0,20.4,9.2,19.7,14.799999999999999,Debre markos
18,2017,1,19,0.0,20.5,8.1,21.9,14.3,Debre markos
19,2017,1,20,0.0,22.1,7.3,25.0,14.700000000000001,Debre markos
20,2017,1,21,0.0,23.4,7.7,25.9,15.549999999999999,Debre markos
21,2017,1,22,0.0,24.2,9.4,25.1,16.8,Debre markos
22,2017,1,23,0.0,22.6,9.5,23.0,16.05,Debre markos
23,2017,1,24,0.0,22.4,9.9,22.2,16.15,Debre markos
24,2017,1,25,0.0,23.5,10.1,23.4,16.8,Debre markos
25,2017,1,26,0.0,23.0,9.6,23.5,16.3,Debre markos
26,2017,1,27,0.0,22.5,9.6,22.7,16.05,Debre markos
27,2017,1,28,0.0,22.9,9.9,23.0,16.4,Debre markos
28,2017,1,29,0.0,24.6,10.0,25.0,17.3,Debre markos
29,2017,1,30,0.0,24.6,8.6,26.3,16.6,Debre markos
30,2017,1,31,0.0,24.7,8.9,26.2,16.8,Debre markos
31,2017,2,1,0.0,25.8,8.2,27.5,17.0,Debre markos
32,2017,2,2,0.0,26.7,9.8,27.0,18.25,Debre markos
33,2017,2,3,0.0,26.7,8.2,28.0,17.45,Debre markos
34,2017,2,4,0.0,25.9,8.4,27.5,17.15,Debre markos
35,2017,2,5,0.0,26.0,9.7,26.8,17.85,Debre markos
36,2017,2,6,0.0,26.7,10.2,26.9,18.45,Debre markos
37,2017,2,7,0.0,26.3,9.0,27.5,17.65,Debre markos
38,2017,2,8,0.0,27.1,10.7,26.9,18.9,Debre markos
39,2017,2,9,0.0,26.8,8.4,28.1,17.6,Debre markos
40,2017,2,10,0.0,25.9,6.4,28.5,16.15,Debre markos
41,2017,2,11,0.0,25.9,7.2,28.3,16.55,Debre markos
42,2017,2,12,0.0,25.8,7.9,27.9,16.85,Debre markos
43,2017,2,13,0.0,26.1,8.5,27.8,17.3,Debre markos
44,2017,2,14,0.0,26.1,7.6,28.3,16.85,Debre markos
45,2017,2,15,0.0,25.8,4.8,29.0,15.3,Debre markos
46,2017,2,16,0.0,25.9,6.7,28.6,16.3,Debre markos
47,2017,2,17,0.0,26.6,6.9,28.8,16.75,Debre markos
48,2017,2,18,0.0,27.2,7.5,28.8,17.35,Debre markos
49,2017,2,19,0.0,27.7,7.7,28.9,17.7,Debre markos
50,2017,2,20,0.0,28.4,11.3,27.6,19.85,Debre markos
51,2017,2,21,0.0,26.0,11.5,25.5,18.75,Debre markos
52,2017,2,22,0.0,28.0,12.5,26.5,20.25,Debre markos
53,2017,2,23,0.0,27.5,11.2,27.2,19.35,Debre markos
54,2017,2,24,0.0,27.5,9.6,28.2,18.55,Debre markos
55,2017,2,25,0.0,27.8,9.5,28.4,18.65,Debre markos
56,2017,2,26,0.0,27.5,10.9,27.4,19.2,Debre markos
57,2017,2,27,0.0,28.7,10.9,28.2,19.8,Debre markos
58,2017,2,28,0.0,27.8,9.4,28.5,18.6,Debre markos
59,2017,3,1,0.0,30.4,9.6,29.3,20.0,Debre markos
60,2017,3,2,0.0,31.0,10.2,29.3,20.6,Debre markos
61,2017,3,3,0.0,31.3,11.6,29.0,21.45,Debre markos
62,2017,3,4,0.0,30.8,11.1,29.0,20.95,Debre markos
63,2017,3,5,0.0,31.0,9.6,29.4,20.3,Debre markos
64,2017,3,6,0.0,30.9,10.2,29.3,20.549999999999997,Debre markos
65,2017,3,7,0.0,31.0,11.0,29.1,21.0,Debre markos
66,2017,3,8,0.0,30.5,14.5,27.0,22.5,Debre markos
67,2017,3,9,0.0,29.5,13.1,27.3,21.3,Debre markos
68,2017,3,10,0.0,29.5,13.4,27.0,21.45,Debre markos
69,2017,3,11,0.1,29.0,13.2,26.9,21.1,Debre markos
70,2017,3,12,0.0,27.7,12.4,26.4,20.05,Debre markos
71,2017,3,13,0.0,30.4,11.3,28.8,20.85,Debre markos
72,2017,3,14,0.0,29.9,10.0,29.1,19.95,Debre markos
73,2017,3,15,0.0,29.8,14.1,26.8,21.95,Debre markos
74,2017,3,16,0.0,30.6,12.9,28.2,21.75,Debre markos
75,2017,3,17,0.0,30.0,11.6,28.5,20.8,Debre markos
76,2017,3,18,0.0,30.0,11.1,28.7,20.55,Debre markos
77,2017,3,19,0.0,30.4,9.7,29.2,20.049999999999997,Debre markos
78,2017,3,20,0.0,28.7,10.8,28.3,19.75,Debre markos
79,2017,3,21,0.0,31.9,15.2,27.4,23.549999999999997,Debre markos
80,2017,3,22,0.0,32.5,15.2,27.8,23.85,Debre markos
81,2017,3,23,0.0,33.1,13.2,29.0,23.15,Debre markos
82,2017,3,24,0.0,34.1,12.6,29.3,23.35,Debre markos
83,2017,3,25,0.0,32.3,11.8,29.1,22.049999999999997,Debre markos
84,2017,3,26,0.0,31.5,13.6,28.1,22.55,Debre markos
85,2017,3,27,0.0,28.7,14.2,25.4,21.45,Debre markos
86,2017,3,28,0.0,29.6,14.2,26.3,21.9,Debre markos
87,2017,3,29,0.0,31.8,15.7,26.9,23.75,Debre markos
88,2017,3,30,0.0,31.0,11.5,28.7,21.25,Debre markos
89,2017,3,31,0.0,30.2,13.5,27.3,21.85,Debre markos
90,2017,4,1,0.0,25.5,12.9,22.7,19.2,Debre markos
91,2017,4,2,0.0,28.6,13.5,25.9,21.05,Debre markos
92,2017,4,3,0.0,27.8,14.1,24.4,20.95,Debre markos
93,2017,4,4,0.0,27.9,14.2,24.2,21.049999999999997,Debre markos
94,2017,4,5,3.9,26.1,13.3,23.0,19.700000000000003,Debre markos
95,2017,4,6,15.4,23.0,12.7,18.4,17.85,Debre markos
96,2017,4,7,0.2,24.7,11.7,23.1,18.2,Debre markos
97,2017,4,8,0.0,24.9,12.2,22.7,18.549999999999997,Debre markos
98,2017,4,9,0.1,24.8,13.3,20.7,19.05,Debre markos
